State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Television,Households_with_Telephone_Mobile_Phone,Ownership_Owned_Households,Ownership_Rented_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity,sex_ratio,litracy_rate
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,24807,20471,33370,17898,15472,50078,1846,481,13474,521,8779,28,297,11,59449,889,5373,139,750,14542,4672,19214,10219,16118,15339,10348,8017,4276,473,64790,28364,93154,56054,20055,7230,109,782,569,1435,3580,3653,13420,1635,364,1162,1526,1714,6935,2530,2691,6174,906,52,161,70,231,28,21,49,6,6,12,4,348,100.0,54.25893969897421
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,29566,18926,42493,28313,14180,41454,1705,801,31265,1970,8466,328,36087,71,5556,204,14188,202,887,17889,6306,24195,8836,10317,8428,5633,3987,2693,299,40193,25606,65799,53026,22362,8493,66,348,1299,1045,8634,7942,9390,5787,1439,1689,3128,2447,8509,3294,2768,4146,622,52,161,70,231,28,21,49,6,6,12,4,348,82.0,57.76501840446948
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,36777,27969,49177,29156,20021,63097,1384,298,15881,2218,29969,577,3311,49,60005,264,14204,303,1300,22272,8503,30775,14227,17675,15908,11441,8418,6030,521,74220,27956,102176,70415,28305,13469,85,2129,1964,4023,9593,10217,14876,4678,1017,1395,2412,1944,8169,2896,3329,7494,2399,52,161,70,231,28,21,49,6,6,12,4,348,93.0,57.66784829969539
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,499038,398020,561824,445297,116527,1131798,98946,30342,492966,1198036,1020,112,49,399,14,1026,84804,2078,25286,447189,52192,499381,210607,307884,300845,121924,87377,46947,8007,1083591,664161,1747752,1072312,405046,215355,909,181352,5560,24913,55319,151699,326160,7625,8117,23690,31807,47692,190552,74238,68622,95730,20383,52,161,70,231,28,21,49,6,6,12,4,348,95.0,52.9668367557814
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,237114,196964,255806,197542,58264,482998,47406,9485,359145,371033,5924,384,236,871,9,1202,49866,2523,12959,181923,38470,220393,93591,138294,133643,55924,35491,20221,2267,479431,260721,740152,458796,184849,94939,220,97820,5837,16579,36350,78595,134382,12007,4790,10961,15751,23471,85826,34496,27859,39096,9614,52,161,70,231,28,21,49,6,6,12,4,348,97.0,58.75414859692151
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,639946,534182,608062,469752,138310,1128555,68664,24466,1038985,654816,37635,280,341,1673,98,2789,140205,5316,37541,346227,88933,435160,256855,447993,379469,156156,79766,45341,12951,1378531,357907,1736438,1048990,444899,241776,952,93297,8700,22647,99887,168487,324905,25190,16072,40838,56910,61055,203831,76457,66319,93340,13962,52,161,70,231,28,21,49,6,6,12,4,348,96.0,67.61007176596797
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,268666,218373,324843,246864,77979,603657,81617,10542,327322,597392,1688,431,57,724,19,867,45444,1166,12084,268517,20189,288706,119027,163277,161153,59039,47398,22267,3079,575240,375556,950796,583436,226525,118102,437,109858,3533,13662,30616,72141,180669,3789,5759,13648,19407,28435,106839,42950,35454,50693,11113,52,161,70,231,28,21,49,6,6,12,4,348,95.0,52.4543887991384
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,237761,185267,316800,186577,130223,369333,19181,7224,655052,13475,8711,297,911,167,6315,1205,28195,1192,10410,211758,16504,228262,79107,138838,136371,80804,55399,28006,2868,521393,194984,716377,434221,169630,82051,231,83663,3504,12293,25776,57166,122182,5984,2272,6031,8303,14583,69390,27022,27785,41922,9944,52,161,70,231,28,21,49,6,6,12,4,348,95.0,61.65393589872517
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,491361,393170,560557,368013,192544,765778,61209,14362,1198401,64526,52968,2261,4673,1055,46,2405,136685,8817,34479,299852,77163,377015,143189,243607,301287,139813,89500,59380,6984,983760,340744,1324504,767147,371864,186774,550,172503,21112,44664,121737,139869,195303,38157,7689,20405,28094,40321,161208,65072,55815,70958,12681,52,161,70,231,28,21,49,6,6,12,4,348,96.0,66.68986342062902
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,304302,259275,362573,267118,95455,645610,75828,14346,347878,579929,77862,771,194,477,103,969,78641,1364,13524,228610,39504,268114,124700,213510,183904,73683,39885,18294,3464,657440,375071,1032511,650509,239831,117427,416,113964,4112,15292,42628,93630,190189,4793,5075,13846,18921,28639,108374,42030,37705,56821,13429,52,161,70,231,28,21,49,6,6,12,4,348,96.0,55.90026810608788
